team_id,team_name,region_league,team_url
prfxAf0i,Sepsi Sf. Gheorghe,ROMANIA - Liga 2,https://www.flashscore.com/team/concordia/prfxAf0i/
IDsPIcMA,Concordia,ROMANIA - Liga 2,https://www.flashscore.com/team/sepsi/IDsPIcMA/
U9x3eSLp,Discoveries,LIBERIA - LFA First Division,https://www.flashscore.com/team/discoveries/U9x3eSLp/
zZAg2iAM,Paynesville,LIBERIA - LFA First Division,https://www.flashscore.com/team/paynesville/zZAg2iAM/
vDxeMIAO,Freeport,LIBERIA - LFA First Division,https://www.flashscore.com/team/black-man-warrior/vDxeMIAO/
beMUgZJG,Black Man Warrior,LIBERIA - LFA First Division,https://www.flashscore.com/team/freeport/beMUgZJG/
E5wyuebe,LPRC Oiler,LIBERIA - LFA First Division,https://www.flashscore.com/team/downtown/E5wyuebe/
jsNlszut,Downtown,LIBERIA - LFA First Division,https://www.flashscore.com/team/lprc-oiler/jsNlszut/
UZZqsih6,Bougouba,MALI - Premiere Division,https://www.flashscore.com/team/bougouba/UZZqsih6/
ETo42tph,Derby Academie,MALI - Premiere Division,https://www.flashscore.com/team/derby-academie/ETo42tph/
IPwzmuAU,Foot Elite,MALI - PREMIERE DIVISION - ROUND 4,https://www.flashscore.com/team/foot-elite/IPwzmuAU/
zVdVFWb8,Onze Createurs,MALI - PREMIERE DIVISION - ROUND 4,https://www.flashscore.com/team/onze-createurs/zVdVFWb8/
jL9qWdNF,AS ZAM,NIGER - Super Ligue,https://www.flashscore.com/team/as-zam/jL9qWdNF/
hjxMLTIt,Renaissance,NIGER - Super Ligue,https://www.flashscore.com/team/renaissance/hjxMLTIt/
zofpZTdb,Douanes Niamey,NIGER - Super Ligue,https://www.flashscore.com/team/douanes-niamey/zofpZTdb/
YZ1yozgK,Olympic Niamey,NIGER - Super Ligue,https://www.flashscore.com/team/olympic-niamey/YZ1yozgK/
W0X2VHyL,Obolon,UKRAINE - Premier League,https://www.flashscore.com/team/metalist-1925/W0X2VHyL/
bN0dYbAh,Metalist 1925,UKRAINE - Premier League,https://www.flashscore.com/team/obolon/bN0dYbAh/
bBAvbmPp,Bhantal,SIERRA LEONE - Premier League,https://www.flashscore.com/team/bai-bureh-warriors/bBAvbmPp/
SfrvtC21,Bai Bureh Warriors,SIERRA LEONE - Premier League,https://www.flashscore.com/team/bhantal/SfrvtC21/
ATkWI8PI,Aigle Noir,BURUNDI - Primus League,https://www.flashscore.com/team/aigle-noir/ATkWI8PI/
McALrAUE,Musongati,BURUNDI - Primus League,https://www.flashscore.com/team/musongati/McALrAUE/
n3Oc2XYt,Al Bidda,QATAR - QSL Cup,https://www.flashscore.com/team/al-bidda/n3Oc2XYt/
YglhkXAP,Qatar SC,QATAR - QSL Cup,https://www.flashscore.com/team/qatar-sc/YglhkXAP/
ImQG73To,Al Mesaimeer,QATAR - QSL Cup,https://www.flashscore.com/team/al-mesaimeer/ImQG73To/
4xuOqBYn,Al Sailiya,QATAR - QSL Cup,https://www.flashscore.com/team/al-sailiya/4xuOqBYn/
hIayizS6,Austria Vienna (Am),AUSTRIA - 2. Liga,https://www.flashscore.com/team/a-klagenfurt/hIayizS6/
C4FBQHlQ,A. Klagenfurt,AUSTRIA - 2. Liga,https://www.flashscore.com/team/austria-vienna/C4FBQHlQ/
8KA7Qw1U,Bregenz,AUSTRIA - 2. Liga,https://www.flashscore.com/team/st-polten/8KA7Qw1U/
fmD86L0H,St. Polten,AUSTRIA - 2. Liga,https://www.flashscore.com/team/sw-bregenz/fmD86L0H/
655zEcZJ,Hertha Wels,AUSTRIA - 2. Liga,https://www.flashscore.com/team/a-lustenau/655zEcZJ/
6i1ocvXH,A. Lustenau,AUSTRIA - 2. Liga,https://www.flashscore.com/team/hogo-hertha-wels/6i1ocvXH/
r9HwRaWH,Kapfenberg,AUSTRIA - 2. Liga,https://www.flashscore.com/team/floridsdorfer-ac-wien/r9HwRaWH/
SUpSZy5K,Floridsdorfer AC,AUSTRIA - 2. Liga,https://www.flashscore.com/team/kapfenberg/SUpSZy5K/
Cv27lapN,Liefering,AUSTRIA - 2. Liga,https://www.flashscore.com/team/fc-liefering/Cv27lapN/
Yuu4T0aG,SK Rapid II,AUSTRIA - 2. Liga,https://www.flashscore.com/team/rapid-vienna/Yuu4T0aG/
Wv0GNPrm,Vukovar 1991,CROATIA - HNL,https://www.flashscore.com/team/varazdin/Wv0GNPrm/
nDCpAOpa,Varazdin,CROATIA - HNL,https://www.flashscore.com/team/vukovar-1991/nDCpAOpa/
rgI3oA08,Nea Salamis,CYPRUS - Division 2,https://www.flashscore.com/team/karmiotissa/rgI3oA08/
jcbJ6Sv2,Karmiotissa,CYPRUS - Division 2,https://www.flashscore.com/team/nea-salamis/jcbJ6Sv2/
YF6nYqJ7,AS Roma U20,ITALY - Primavera 1,https://www.flashscore.com/team/as-roma/YF6nYqJ7/
Sp2nsd2o,Lazio U20,ITALY - Primavera 1,https://www.flashscore.com/team/lazio/Sp2nsd2o/
GOPqBIRK,Kasimpasa,TURKEY - Super Lig,https://www.flashscore.com/team/genclerbirligi/GOPqBIRK/
dOlaIG4l,Genclerbirligi,TURKEY - Super Lig,https://www.flashscore.com/team/kasimpasa/dOlaIG4l/
fwjo7kpb,Kampala City,UGANDA - Premier League,https://www.flashscore.com/team/kampala-city/fwjo7kpb/
vXYNKJKR,NEC FC,UGANDA - Premier League,https://www.flashscore.com/team/nec-fc/vXYNKJKR/
CCQGbik8,Greuther Furth,GERMANY - 2. Bundesliga,https://www.flashscore.com/team/greuther-furth/CCQGbik8/
2y0u8Wrq,Hertha Berlin,GERMANY - 2. Bundesliga,https://www.flashscore.com/team/hertha-berlin/2y0u8Wrq/
QqLCC3il,SG Dynamo Dresden,GERMANY - 2. Bundesliga,https://www.flashscore.com/team/braunschweig/QqLCC3il/
zL1YsOi1,Braunschweig,GERMANY - 2. Bundesliga,https://www.flashscore.com/team/dresden/zL1YsOi1/
hjuyw2Kb,Werder Bremen W,GERMANY - Bundesliga Women,https://www.flashscore.com/team/bayer-leverkusen/hjuyw2Kb/
vyDE3LZH,Bayer Leverkusen W,GERMANY - Bundesliga Women,https://www.flashscore.com/team/werder-bremen/vyDE3LZH/
htCyNMwL,Mosta,MALTA - Premier League - First stage - Play Out,https://www.flashscore.com/team/mosta-fc/htCyNMwL/
MZkrZYmQ,Zabbar,MALTA - Premier League - First stage - Play Out,https://www.flashscore.com/team/zabbar/MZkrZYmQ/
EPsYDm4A,Al Ahly,EGYPT - League Cup,https://www.flashscore.com/team/al-ahly/EPsYDm4A/
2wpo7PBj,Enppi,EGYPT - League Cup,https://www.flashscore.com/team/enppi/2wpo7PBj/
tbC3EcQn,Ulm,GERMANY - 3. Liga,https://www.flashscore.com/team/ulm/tbC3EcQn/
88Xgj1Y5,VfL Osnabruck,GERMANY - 3. Liga,https://www.flashscore.com/team/vfl-osnabruck/88Xgj1Y5/
vNt65kUG,FC Porto B,PORTUGAL - Liga Portugal 2,https://www.flashscore.com/team/fc-porto/vNt65kUG/
lGALDDtR,Penafiel,PORTUGAL - Liga Portugal 2,https://www.flashscore.com/team/penafiel/lGALDDtR/
vsToxqA5,Oliveirense,PORTUGAL - Liga Portugal 2,https://www.flashscore.com/team/chaves/vsToxqA5/
tA7VEKwU,Chaves,PORTUGAL - Liga Portugal 2,https://www.flashscore.com/team/oliveirense/tA7VEKwU/
0ranWp9D,Betis B,SPAIN - Primera RFEF - Group 2,https://www.flashscore.com/team/alcorcon/0ranWp9D/
GzVElN7C,Alcorcon,SPAIN - Primera RFEF - Group 2,https://www.flashscore.com/team/betis/GzVElN7C/
jZ2ZFJqe,Chateauroux,FRANCE - National,https://www.flashscore.com/team/chateauroux/jZ2ZFJqe/
dIvQQaE7,Dijon,FRANCE - National,https://www.flashscore.com/team/dijon/dIvQQaE7/
IooxkpEI,Le Puy-en-Velay,FRANCE - National,https://www.flashscore.com/team/fleury-merogis/IooxkpEI/
xnng4dGk,Fleury-Merogis,FRANCE - National,https://www.flashscore.com/team/le-puy-en-velay/xnng4dGk/
AqswAEFD,Orleans,FRANCE - National,https://www.flashscore.com/team/orleans/AqswAEFD/
nDjHIbwL,Versailles,FRANCE - National,https://www.flashscore.com/team/versailles/nDjHIbwL/
Uo57pG95,Paris 13 Atl.,FRANCE - National,https://www.flashscore.com/team/concarneau/Uo57pG95/
WnjEIzRL,Concarneau,FRANCE - National,https://www.flashscore.com/team/paris-13-atletico/WnjEIzRL/
ry31K39D,Stade Briochin,FRANCE - National,https://www.flashscore.com/team/aubagne-fc/ry31K39D/
CQxeodfa,Aubagne,FRANCE - National,https://www.flashscore.com/team/stade-briochin/CQxeodfa/
jPojkLXK,Valenciennes,FRANCE - National,https://www.flashscore.com/team/sochaux/jPojkLXK/
O8dsB372,Sochaux,FRANCE - National,https://www.flashscore.com/team/valenciennes/O8dsB372/
Ict2iv2P,Villefranche,FRANCE - National,https://www.flashscore.com/team/bourg-peronnas/Ict2iv2P/
K6STnbAt,Bourg en Bresse,FRANCE - National,https://www.flashscore.com/team/villefranche/K6STnbAt/
4KfIhq7B,CFR Cluj,ROMANIA - Superliga,https://www.flashscore.com/team/cfr-cluj/4KfIhq7B/
A5gTQ7pG,Csikszereda M. Ciuc,ROMANIA - Superliga,https://www.flashscore.com/team/miercurea-ciuc/A5gTQ7pG/
I3q2AOtB,Rapperswil-Jona,SWITZERLAND - Challenge League,https://www.flashscore.com/team/rapperswil-jona/I3q2AOtB/
G6Ih9GOj,Vaduz,SWITZERLAND - Challenge League,https://www.flashscore.com/team/vaduz/G6Ih9GOj/
KQtAqOh9,Beveren,BELGIUM - Challenger Pro League,https://www.flashscore.com/team/anderlecht/KQtAqOh9/
QaqfE8WE,Anderlecht U23,BELGIUM - Challenger Pro League,https://www.flashscore.com/team/sk-beveren/QaqfE8WE/
6qX8q0TR,Lommel SK,BELGIUM - Challenger Pro League,https://www.flashscore.com/team/gent/6qX8q0TR/
8EyXqyoo,Gent U23,BELGIUM - Challenger Pro League,https://www.flashscore.com/team/lommel-sk/8EyXqyoo/
ltdeqDcb,Cardiff U21,ENGLAND - Premier League Cup,https://www.flashscore.com/team/cardiff/ltdeqDcb/
tSn0vwwG,QPR U21,ENGLAND - Premier League Cup,https://www.flashscore.com/team/qpr/tSn0vwwG/
b3ceuJN9,Norwich U21,ENGLAND - Premier League Cup,https://www.flashscore.com/team/norwich/b3ceuJN9/
ELGqWEpd,Sunderland U21,ENGLAND - Premier League Cup,https://www.flashscore.com/team/sunderland/ELGqWEpd/
6FRLlnfU,Nottingham U21,ENGLAND - Premier League Cup,https://www.flashscore.com/team/millwall/6FRLlnfU/
bmFCwchM,Millwall U21,ENGLAND - Premier League Cup,https://www.flashscore.com/team/nottingham/bmFCwchM/
25dB6Eto,Annecy,FRANCE - Ligue 2,https://www.flashscore.com/team/annecy/25dB6Eto/
ER0NeOOp,Le Mans,FRANCE - Ligue 2,https://www.flashscore.com/team/le-mans/ER0NeOOp/
tAAobNse,Laval,FRANCE - Ligue 2,https://www.flashscore.com/team/dunkerque/tAAobNse/
E1wDrLsJ,Dunkerque,FRANCE - Ligue 2,https://www.flashscore.com/team/laval/E1wDrLsJ/
IRuMRua1,Nancy,FRANCE - Ligue 2,https://www.flashscore.com/team/clermont/IRuMRua1/
dnIrsS0A,Clermont,FRANCE - Ligue 2,https://www.flashscore.com/team/nancy/dnIrsS0A/
lKkBAsxF,Pau FC,FRANCE - Ligue 2,https://www.flashscore.com/team/amiens-sc/lKkBAsxF/
6NOhR4cm,Amiens,FRANCE - Ligue 2,https://www.flashscore.com/team/pau/6NOhR4cm/
QDfKl36E,Rodez,FRANCE - Ligue 2,https://www.flashscore.com/team/guingamp/QDfKl36E/
0pOdQOCg,Guingamp,FRANCE - Ligue 2,https://www.flashscore.com/team/rodez/0pOdQOCg/
fPCzUHN1,Rouen,FRANCE - National,https://www.flashscore.com/team/quevilly/fPCzUHN1/
z5PJrrtm,Quevilly Rouen,FRANCE - National,https://www.flashscore.com/team/rouen/z5PJrrtm/
naL1J006,De Graafschap,NETHERLANDS - Eerste Divisie,https://www.flashscore.com/team/de-graafschap/naL1J006/
6FRTNZ8p,Roda,NETHERLANDS - Eerste Divisie,https://www.flashscore.com/team/roda/6FRTNZ8p/
4IzxgrNP,Den Bosch,NETHERLANDS - Eerste Divisie,https://www.flashscore.com/team/den-bosch/4IzxgrNP/
UNA6IKFC,Venlo,NETHERLANDS - Eerste Divisie,https://www.flashscore.com/team/venlo/UNA6IKFC/
fT0n14Vt,Dordrecht,NETHERLANDS - Eerste Divisie,https://www.flashscore.com/team/dordrecht/fT0n14Vt/
